date,transaction_id,customer_id,product,product_code,product_color,product_price,purchase_size,purchase_price,revenue
8/29/20 12:00 AM,9900,1980,fan,SKU83503,brass,$13.99 ,2,27.98,$27.98 
5/1/20 12:00 AM,12315,2463,fan,SKU83503,brass,$13.99 ,2,27.98,$27.98 
12/12/20 12:00 AM,9890,1978,fan,SKU83503,white,$13.99 ,1,13.99,$13.99 
2/16/20 12:00 AM,46915,9383,fan,SKU83503,black,$13.99 ,1,13.99,$13.99 
12/28/20 12:00 AM,44700,8940,fan,SKU83503,brass,$13.99 ,2,27.98,$27.98 
12/28/20 12:00 AM,44700,8940,lamp,SKU95363,brass,$45.99 ,5,160.965,$229.95 
10/11/20 12:00 AM,12560,2512,bed,SKU74796,brown,$799.99 ,1,799.99,$799.99 
6/29/20 12:00 AM,9640,1928,couch,SKU31871,grey,"$1,000.00 ",1,1000,"$1,000.00 "
11/10/20 12:00 AM,22620,4524,couch,SKU31871,grey,"$1,000.00 ",1,1000,"$1,000.00 "
2/5/20 12:00 AM,49430,9886,couch,SKU31871,grey,"$1,000.00 ",1,1000,"$1,000.00 "
4/28/20 12:00 AM,49075,9815,couch,SKU31871,blue,"$1,000.00 ",1,1000,"$1,000.00 "
1/23/20 12:00 AM,37855,7571,couch,SKU31871,purple,"$1,000.00 ",1,1000,"$1,000.00 "
2/16/20 12:00 AM,9900,1980,couch,SKU31871,white,"$1,000.00 ",1,1000,"$1,000.00 "
10/12/20 12:00 AM,1675,335,couch,SKU31871,white,"$1,000.00 ",1,1000,"$1,000.00 "
7/8/20 12:00 AM,23435,4687,couch,SKU31871,brown,"$1,000.00 ",1,1000,"$1,000.00 "
10/21/20 12:00 AM,19105,3821,couch,SKU31871,black,"$1,000.00 ",1,1000,"$1,000.00 "
12/30/20 12:00 AM,48035,9607,rug,SKU19092,beige,$89.85 ,3,269.55,$269.55 
9/25/20 12:00 AM,31615,6323,rug,SKU19092,grey,$89.85 ,2,179.7,$179.70 
8/11/20 12:00 AM,31775,6355,rug,SKU19092,grey,$89.85 ,1,89.85,$89.85 
9/7/20 12:00 AM,21870,4374,rug,SKU19092,beige,$89.85 ,3,269.55,$269.55 
7/22/20 12:00 AM,45400,9080,vase,SKU99037,green,$9.99 ,2,19.98,$19.98 
7/22/20 12:00 AM,45400,9080,mirror,SKU97721,brass,$199.95 ,1,199.95,$199.95 
7/22/20 12:00 AM,45400,9080,bookcase,SKU15757,brown,$58.89 ,1,58.89,$58.89 
4/29/20 12:00 AM,26530,5306,desk,SKU40294,brown,$169.95 ,1,169.95,$169.95 
3/22/20 12:00 AM,14080,2816,desk,SKU40294,brown,$169.95 ,1,169.95,$169.95 
6/4/20 12:00 AM,6340,1268,desk,SKU40294,white,$169.95 ,1,169.95,$169.95 
2/28/20 12:00 AM,21485,4297,chair,SKU99664,black,$234.50 ,1,234.5,$234.50 
6/6/20 12:00 AM,24785,4957,,SKU77417,beige,$399.95 ,1,399.95,$399.95 
6/6/20 12:00 AM,24785,4957,,SKU13351,grey,$299.99 ,1,299.99,$299.99 